Trace
Swept SA
A.14.12,N9010A
526 EMC ESC P03 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0062
Start Frequency,2200000000
Stop Frequency,5900000000
Average Count,100
Average Type,LogPower(Video)
RBW,1000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2200000000,-66.7151031494141
2203700000,-64.8385009765625
2207400000,-66.8256149291992
2211100000,-66.9950256347656
2214800000,-66.9841079711914
2218500000,-67.3083190917969
2222200000,-65.7077331542969
2225900000,-67.0951156616211
2229600000,-66.8044662475586
2233300000,-66.8787994384766
2237000000,-66.8480377197266
2240700000,-66.8463897705078
2244400000,-65.3977508544922
2248100000,-65.6107025146484
2251800000,-66.015022277832
2255500000,-66.2213592529297
2259200000,-66.9594879150391
2262900000,-66.3043212890625
2266600000,-66.790397644043
2270300000,-66.9414672851563
2274000000,-66.7977066040039
2277700000,-66.3199768066406
2281400000,-66.9891662597656
2285100000,-66.8561248779297
2288800000,-67.2363815307617
2292500000,-65.4295654296875
2296200000,-66.6142654418945
2299900000,-32.3750190734863
2303600000,-59.5775260925293
2307300000,-66.5932083129883
2311000000,-67.2355270385742
2314700000,-67.0833740234375
2318400000,-66.7607192993164
2322100000,-32.3198127746582
2325800000,-38.974494934082
2329500000,-66.5925674438477
2333200000,-66.9161682128906
2336900000,-66.1630859375
2340600000,-66.9682846069336
2344300000,-33.4417304992676
2348000000,-32.436466217041
2351700000,-63.1224327087402
2355400000,-66.1225738525391
2359100000,-65.9577331542969
2362800000,-66.4124374389648
2366500000,-60.2159690856934
2370200000,-32.4362525939941
2373900000,-66.6278457641602
2377600000,-66.3172454833984
2381300000,-66.6939010620117
2385000000,-66.3973617553711
2388700000,-66.8001022338867
2392400000,-32.4194068908691
2396100000,-37.2240562438965
2399800000,-67.0779266357422
2403500000,-66.5619735717773
2407200000,-66.736083984375
2410900000,-66.6286849975586
2414600000,-46.3601493835449
2418300000,-32.3797378540039
2422000000,-66.9925918579102
2425700000,-65.5825271606445
2429400000,-66.0759582519531
2433100000,-66.4823303222656
2436800000,-66.3469772338867
2440500000,-32.2113380432129
2444200000,-37.1154441833496
2447900000,-62.9847602844238
2451600000,-66.7611465454102
2455300000,-65.7691116333008
2459000000,-66.4448013305664
2462700000,-56.2760887145996
2466400000,-32.2685203552246
2470100000,-57.4659957885742
2473800000,-66.9497528076172
2477500000,-66.8236389160156
2481200000,-66.2981491088867
2484900000,-65.9678497314453
2488600000,-33.7441062927246
2492300000,-32.352123260498
2496000000,-32.3785667419434
2499700000,-32.3686676025391
2503400000,-53.2697410583496
2507100000,-65.6033706665039
2510800000,-65.9038848876953
2514500000,-65.9998016357422
2518200000,-66.0915985107422
2521900000,-58.3519058227539
2525600000,-32.4037055969238
2529300000,-65.5090713500977
2533000000,-65.5679779052734
2536700000,-64.9686431884766
2540400000,-65.726936340332
2544100000,-65.9115829467773
2547800000,-39.9011001586914
2551500000,-32.2182083129883
2555200000,-55.8331031799316
2558900000,-64.540771484375
2562600000,-65.7863998413086
2566300000,-66.6753311157227
2570000000,-66.2073211669922
2573700000,-34.2617416381836
2577400000,-32.3263130187988
2581100000,-57.895637512207
2584800000,-66.0413360595703
2588500000,-65.5958557128906
2592200000,-65.7220001220703
2595900000,-62.1024055480957
2599600000,-33.2247505187988
2603300000,-32.3773384094238
2607000000,-65.301513671875
2610700000,-65.5130767822266
2614400000,-65.5467834472656
2618100000,-66.0148468017578
2621800000,-64.1000213623047
2625500000,-34.1439094543457
2629200000,-32.3483657836914
2632900000,-65.918701171875
2636600000,-64.5363998413086
2640300000,-65.2521286010742
2644000000,-65.9765548706055
2647700000,-64.3984909057617
2651400000,-39.0658073425293
2655100000,-32.4107971191406
2658800000,-65.1865997314453
2662500000,-65.859260559082
2666200000,-65.5783233642578
2669900000,-65.5503921508789
2673600000,-65.0565185546875
2677300000,-55.4987335205078
2681000000,-32.3317909240723
2684700000,-65.874755859375
2688400000,-65.9604721069336
2692100000,-65.8771514892578
2695800000,-66.075309753418
2699500000,-32.278076171875
2703200000,-48.2547569274902
2706900000,-65.1990127563477
2710600000,-65.5825424194336
